CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
FragScreen24892.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25244.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25370.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25375.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25380.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25386.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25774.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25868.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25870.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen25984.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen26099.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen26362.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen26828.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27044.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27295.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27299.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27424.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27522.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27647.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27758.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27763.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen27790.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen28137.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen28226.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
